id,code,en,chs,cht,es
10003,200,Success (no changes),成功（没有任何更改）,成功（沒有任何更改）,Éxito (sin cambios)
10100,100,Continue,继续,繼續,Continuar
10101,101,Switching Protocols,切换协议,切換協議,Protocolos de conmutación
10102,102,Processing,正在处理中,正在處理中,Procesando
10103,103,Early Hints,预先返回的数据,預先返回的資料,Primeros consejos
10200,200,OK,请求成功,请求成功,DE ACUERDO
10201,201,Created,已创建,已建立,Creado
10202,202,Accepted,已接受,已接受,Aceptado
10203,203,Non-Authoritative Information,非授权信息,非授權資訊,Información no autorizada
10204,204,No Content,无内容,無內容,Sin contenido
10205,205,Reset Content,重置內容,重置內容,Restablecer contenido
10206,206,Partial Content,部分内容,部分內容,Contenido parcial
10300,300,Multiple Choices,多种选择,多種選擇,Múltiples opciones
10301,301,Moved Permanently,永久移动,永久移動,Movido permanentemente
10302,302,Found,临时移动,臨時移動,Encontró
10303,303,See Other,查看其它地址,檢視其它地址,Ver Otros
10304,304,Not Modified,未修改,未修改,No modificado
10305,305,Use Proxy,使用代理,使用代理,Usa proxy
10307,307,Temporary Redirect,临时重定向,臨時重定向,Redirección temporal
11101,200,Waiting for user confirmation,等待用户确认,等待用戶確認,Esperando confirmación del usuario
20000,400,Fail,失败,失敗,Fallar
20400,400,Bad Request,错误请求,錯誤請求,Solicitud incorrecta
20401,401,Unauthorized,要求身份认证,要求身份認證,No autorizado
21000,400,length over 1000,长度超过1000,長度超過1000,longitud superior a 1000
21001,400,illegal characters,有非法字符,有非法字元,caracteres ilegales
21002,400,regular judgment failure,正则判断失败,正則判斷失敗,fallo de juicio regular
20403,403,Forbidden,拒绝执行,拒絕執行,Prohibido
20404,404,Not Found,找不到,找不到,Extraviado
20405,405,Method Not Allowed,所请求的方法被禁用,所請求的方法被禁用,Método no permitido
20406,406,Not Acceptable,无法根据特性完成请求,無法根據特性完成請求,Inaceptable
20407,407,Proxy Authentication Required,要求代理身份认证,要求代理身份認證,Se requiere autenticación proxy
20408,408,Request Time-out,请求超时,請求超時,Pide tiempo fuera
20409,409,Conflict,发生冲突,發生衝突,Conflicto
20410,410,Gone,已被永久删除,已被永久刪除,Desaparecido
20411,411,Length Required,需要提供请求长度,需要提供請求長度,Longitud requerida
20412,412,Precondition Failed,请求不满足先决条件,請求不滿足先決條件,Condición previa Falló
20413,413,Request Entity Too Large,请求太大,請求太大,Solicitar entidad demasiado grande
20414,414,Request-URI Too Large,网址过长,網址過長,Solicitud-URI demasiado grande
20415,415,Unsupported Media Type,不支持的上传文件格式,不支援的上傳檔案格式,Tipo de medio no admitido
20416,416,Requested range not satisfiable,范围无效,範圍無效,Rango solicitado no satisfactorio
20417,417,Expectation Failed,无法满足请求头信息,無法滿足請求頭資訊,Expectativa fallida
20451,451,Unavailable For Legal Reasons,无法满足请求头信息,根據相關法律法規或政策，無法顯示,No disponible por razones legales
20500,500,Internal Server Error,服务器内部错误,伺服器內部錯誤,Error Interno del Servidor
20501,501,Not Implemented,不支持请求的功能,不支援請求的功能,No se ha implementado
20502,502,Bad Gateway,上级服务器处理失败,上級伺服器處理失敗,Mala puerta de enlace
20503,503,Service Unavailable,系统正在维护,系統正在維護,Servicio No Disponible
20504,504,Gateway Time-out,上级服务器响应超时,上級伺服器響應超時,Tiempo de espera de puerta de enlace
20505,505,HTTP Version not supported,不支持的协议版本,不支援的協議版本,Versión HTTP no compatible
21101,400,The login code is invalid and has been regenerated,登录码已失效，已重新生成,登錄碼已失效，已重新生成,El código de inicio de sesión no es válido y se ha regenerado
21102,400,QR code generation failed,二维码生成失败,二維碼生成失敗,Falló la generación del código QR
